Bus ID,Time ID,Location,Arrive,Depart,stop time,travel time,Special circumstance?
S9,3,Aux,13:46:29,13:46:49,0:00:20,0:00:42,
S9,3,Stu Health,13:47:59,13:48:13,0:00:14,0:01:10,
S9,3,Martin,13:49:03,13:52:05,0:03:02,0:00:50,
S9,3,Lot 6,13:52:48,13:53:01,0:00:13,0:00:43,
S9,3,Lot 5A,13:54:18,13:54:33,0:00:15,0:01:17,
S9,3,East Deck,13:54:53,13:55:05,0:00:12,0:00:20,
S9,3,Fret N,13:56:08,13:56:20,0:00:12,0:01:03,
S9,3,Klien,13:56:52,13:56:59,0:00:07,0:00:32,
S9,3,Stun W,13:57:34,13:59:33,0:01:59,0:00:35,
S9,3,Athletics W,14:01:39,14:01:39,0:00:00,0:02:06,
S9,3,EPIC N,14:03:02,14:03:17,0:00:15,0:01:23,
S9,3,Grigg,14:03:44,14:03:59,0:00:15,0:00:27,
S9,3,BATT,14:04:41,14:05:01,0:00:20,0:00:42,
S9,3,Portal W,14:05:44,14:05:44,0:00:00,0:00:43,
S9,3,CRI,14:06:40,14:09:14,0:02:34,0:00:56,
S9,3,Duke,14:10:45,14:10:59,0:00:14,0:01:31,
S9,3,EPIC S,14:12:23,14:13:40,0:01:17,0:01:24,
S9,3,Athletics E,14:14:35,14:14:50,0:00:15,0:00:55,
S9,,AVG,,,0:00:45,0:01:02,
,,,,,,,
S10,3,EPIC S,,13:01:07,,,
S10,3,Athletics E,13:01:55,13:01:55,0:00:00,0:00:48,
S10,3,Stun E,13:03:54,13:04:50,0:00:56,0:01:59,
S10,3,Aux,13:05:25,13:05:50,0:00:25,0:00:35,
S10,3,Stu Health,13:07:16,13:07:16,0:00:00,0:01:26,
S10,3,Martin,13:08:13,13:11:25,0:03:12,0:00:57,
S10,3,Lot 6,13:11:57,13:12:25,0:00:28,0:00:32,
S10,3,Lot 5A,13:13:21,13:13:42,0:00:21,0:00:56,
S10,3,East Deck,13:14:03,13:14:16,0:00:13,0:00:21,
S10,3,Fret N,13:15:26,13:15:48,0:00:22,0:01:10,
S10,3,Klien,13:16:23,13:17:05,0:00:42,0:00:35,
S10,3,Stun W,13:18:07,13:19:25,0:01:18,0:01:02,
